n,c ,k
0,0.25,0.5
0,0.5,0.5
0,1,0.5
0,5,0.5
0,10,0.5
0.25,0,0.5
0.25,0.25,0.5
0.25,0.5,0.5
0.25,1,0.5
0.25,5,0.5
0.25,10,0.5
0.5,0,0.5
0.5,0.25,0.5
0.5,0.5,0.5
0.5,1,0.5
0.5,5,0.5
0.5,10,0.5
1,0,0.5
1,0.25,0.5
1,0.5,0.5
1,1,0.5
1,5,0.5
1,10,0.5
5,0,0.5
5,0.25,0.5
5,0.5,0.5
5,1,0.5
5,5,0.5
5,10,0.5
10,0,0.5
10,0.25,0.5
10,0.5,0.5
10,1,0.5
10,5,0.5
10,10,0.5
0,2,0.5
0,4,0.5
1,2,0.5
1,4,0.5
2,0,0.5
2,2,0.5
0,8,0.5
1,3,0.5
0,0,0.5
0.1,0.1,0.5
0.25,10,0.5
0.6,0.2,0.5
0.75,0.5,0.5
0.75,0.8,0.5
0.4,0.8,0.5
0.8,0.2,0.5
0.8,0.8,0.5
0.6,0.8,0.5
0.7,0.35,0.5
0.4,0.1,0.5
0.7,0.1,0.5
0.05,0.05,0.5
0.8,0.45,0.5
0.9,0.1,0.5
