n,c ,k,Type 1,Type 2,Type 3,Clustering
0,0.25,0.5,0.993128,0.006544,0.000328,0.983340274885
0,0.5,0.5,0.958648,0.025856,0.015496,0.908788004998
0,1,0.5,0.98004,0.000176,0.019784,0.958558933778
0,5,0.5,0.00372,0.9956,0.00068,0.992711370262
0,10,0.5,0.963496,0.029104,0.0074,0.935443565181
0.25,0,0.5,0.982608,0.000968,0.016424,0.974802165764
0.25,0.25,0.5,0.99508,0.000288,0.004632,0.99416909621
0.25,0.5,0.5,0.670504,0.0,0.329496,0.847355268638
0.25,1,0.5,0.610824,0.0,0.389176,0.815910037484
0.25,5,0.5,0.031048,0.900904,0.068048,0.84214910454
0.25,10,0.5,0.279536,0.531648,0.188816,0.475843398584
0.5,0,0.5,0.00796,0.018264,0.973776,0.955435235319
0.5,0.25,0.5,0.902,0.009816,0.088184,0.827155351937
0.5,0.5,0.5,0.010632,0.000208,0.98916,0.97667638484
0.5,1,0.5,0.014904,0.0002,0.984896,0.965014577259
0.5,5,0.5,0.023728,0.000168,0.976104,0.954602249063
0.5,10,0.5,0.0,0.990776,0.009224,0.986047480217
1,0,0.5,0.0,0.942208,0.057792,0.93752603082
1,0.25,0.5,0.000136,0.016312,0.983552,0.983548521449
1,0.5,0.5,0.008712,0.07068,0.920608,0.844648063307
1,1,0.5,0.039568,0.008232,0.9522,0.911495210329
1,5,0.5,0.002856,0.0002,0.996944,0.994377342774
1,10,0.5,0.0,0.965392,0.034608,0.976884631404
5,0,0.5,0.989096,0.000144,0.01076,0.98146605581
5,0.25,0.5,0.000152,0.022864,0.976984,0.967930029155
5,0.5,0.5,0.000176,0.005064,0.99476,0.990837151187
5,1,0.5,0.00912,0.089168,0.901712,0.821949187838
5,5,0.5,0.009056,0.013208,0.977736,0.961474385673
5,10,0.5,0.037832,0.008536,0.953632,0.905039566847
10,0,0.5,0.982016,0.000152,0.017832,0.966472303207
10,0.25,0.5,0.03452,0.965016,0.000464,0.947730112453
10,0.5,0.5,0.990008,0.009568,0.000424,0.971470220741
10,1,0.5,0.950896,0.022152,0.026952,0.912119950021
10,5,0.5,0.991192,0.000216,0.008592,0.982923781758
10,10,0.5,0.987992,0.000136,0.011872,0.976259891712
