e,f,g,h,Type 1,Type 2,Type 3 
0.1,0.4,0.01,0.25,0.0,0.027453125,0.972546875
0.3,0.4,0.1,0.25,0.0,0.024109375,0.975890625
0.1,0.7,0.1,0.25,0.0,0.014171875,0.985828125
0.1,0.4,0.2,0.25,0.0,0.004296875,0.995703125
0.1,0.4,0.1,0.4,0.0,0.02509375,0.97490625
0.05,0.4,0.1,0.25,0.0,0.0115625,0.9884375
0.01,0.8,0.3,0.8,7.8125e-05,0.009203125,0.99071875
0.25,0.9,0.01,0.02,0.0,0.003453125,0.996546875
0.1,0.4,0.15,0.25,0.0,0.00503125,0.99496875
0.12,0.2,0.24,0.05,0.0,0.00915625,0.99084375
0.1,0.4,0.2,0.25,0.0,0.02228125,0.97771875
0.05,0.4,0.1,0.25,0.0,0.01696875,0.98303125
0.05,0.4,0.1,0.3,0.0,0.022734375,0.977265625
0.15,0.25,0.2,0.1,0.0,0.018953125,0.981046875
0.15,0.2,0.2,0.1,0.0,0.020296875,0.979703125
0.4,0.8,0.75,0.3,0.0,0.02771875,0.97228125
0.4,0.8,0.6,0.3,0.0,0.014546875,0.985453125
0.4,0.8,0.5,0.3,0.0,0.0086875,0.9913125
0.1,0.4,0.01,0.25,0.0,0.027453125,0.972546875
0.3,0.4,0.1,0.25,0.0,0.024109375,0.975890625
0.1,0.7,0.1,0.25,0.0,0.014171875,0.985828125
0.1,0.4,0.2,0.25,0.0,0.004296875,0.995703125
0.1,0.4,0.1,0.4,0.0,0.02509375,0.97490625
0.05,0.4,0.1,0.25,0.0,0.0115625,0.9884375
0.01,0.8,0.3,0.8,7.8125e-05,0.009203125,0.99071875
0.25,0.9,0.01,0.02,0.0,0.003453125,0.996546875
0.1,0.4,0.15,0.25,0.0,0.00503125,0.99496875
0.12,0.2,0.24,0.05,0.0,0.00915625,0.99084375
0.1,0.4,0.2,0.25,0.0,0.02228125,0.97771875
0.05,0.4,0.1,0.25,0.0,0.01696875,0.98303125
0.05,0.4,0.1,0.3,0.0,0.022734375,0.977265625
0.15,0.25,0.2,0.1,0.0,0.018953125,0.981046875
0.15,0.2,0.2,0.1,0.0,0.020296875,0.979703125
0.4,0.8,0.75,0.3,0.0,0.02771875,0.97228125
0.4,0.8,0.6,0.3,0.0,0.014546875,0.985453125
